# BUSCO version is: 3.0.1 
# The lineage dataset is: eukaryota_odb9 (Creation date: 2016-11-02, number of species: 100, number of BUSCOs: 303)
# To reproduce this run: python /home/osboxes/BUSCOVM/busco3/scripts/run_BUSCO.py -i Trinity.fasta -o LeptodorusBusco -l /home/osboxes/BUSCOVM/lineages/eukaryota_odb9/ -m transcriptome -c 1
#
# Busco id	Status	Sequence	Score	Length
EOG09370WT1	Duplicated	TRINITY_DN1147_c0_g1_i2	202.0	126
EOG09370WT1	Duplicated	TRINITY_DN1147_c0_g1_i3	202.0	126
EOG09370WWI	Complete	TRINITY_DN3191_c0_g1_i4	177.2	156
EOG09370WYG	Complete	TRINITY_DN5319_c0_g1_i1	230.4	149
EOG09370WZX	Duplicated	TRINITY_DN7437_c0_g1_i1	122.7	186
EOG09370WZX	Duplicated	TRINITY_DN7437_c0_g1_i2	123.7	186
EOG09370X1T	Duplicated	TRINITY_DN5889_c0_g1_i1	131.3	97
EOG09370X1T	Duplicated	TRINITY_DN5889_c0_g1_i4	131.1	97
EOG09370XFG	Duplicated	TRINITY_DN3656_c0_g1_i2	95.5	115
EOG09370XFG	Duplicated	TRINITY_DN3656_c0_g1_i3	97.5	115
EOG09370XFG	Duplicated	TRINITY_DN3656_c0_g1_i7	98.6	115
EOG09370XFJ	Duplicated	TRINITY_DN895_c0_g1_i14	474.7	390
EOG09370XFJ	Duplicated	TRINITY_DN895_c0_g1_i18	474.7	390
EOG09370XFJ	Duplicated	TRINITY_DN895_c0_g1_i9	474.6	390
EOG09370XO6	Duplicated	TRINITY_DN503_c0_g1_i1	180.1	145
EOG09370XO6	Duplicated	TRINITY_DN503_c0_g1_i2	173.4	121
EOG09370XO6	Duplicated	TRINITY_DN503_c0_g1_i3	182.0	130
EOG09370Y63	Duplicated	TRINITY_DN1500_c0_g2_i1	237.4	133
EOG09370Y63	Duplicated	TRINITY_DN1500_c0_g2_i2	237.3	133
EOG09370Y63	Duplicated	TRINITY_DN1500_c1_g1_i1	233.2	133
EOG09370YC4	Duplicated	TRINITY_DN10223_c0_g1_i1	137.8	157
EOG09370YC4	Duplicated	TRINITY_DN19461_c0_g1_i1	155.3	160
EOG09370YC4	Duplicated	TRINITY_DN5223_c0_g1_i1	159.3	160
EOG09370YCN	Complete	TRINITY_DN157_c0_g1_i2	143.6	115
EOG09370YSI	Duplicated	TRINITY_DN10931_c0_g1_i1	298.6	281
EOG09370YSI	Duplicated	TRINITY_DN10931_c0_g1_i2	305.5	304
EOG09370ZI7	Complete	TRINITY_DN265_c0_g1_i1	117.8	86
EOG09370ZOK	Complete	TRINITY_DN4111_c0_g1_i1	208.6	398
EOG0937106D	Complete	TRINITY_DN58_c0_g1_i2	161.5	139
EOG0937106Y	Duplicated	TRINITY_DN870_c0_g1_i1	143.8	134
EOG0937106Y	Duplicated	TRINITY_DN870_c0_g1_i2	143.5	134
EOG09371088	Complete	TRINITY_DN5770_c0_g1_i1	192.0	144
EOG093710A7	Complete	TRINITY_DN15815_c0_g1_i1	90.0	145
EOG093710JH	Complete	TRINITY_DN1415_c0_g1_i2	90.5	77
EOG093710SY	Duplicated	TRINITY_DN11543_c0_g1_i1	165.5	131
EOG093710SY	Duplicated	TRINITY_DN21196_c0_g1_i1	169.3	106
EOG093710SY	Duplicated	TRINITY_DN7979_c0_g1_i1	163.0	101
EOG093710T1	Duplicated	TRINITY_DN8021_c0_g1_i2	238.5	119
EOG093710T1	Duplicated	TRINITY_DN8021_c0_g1_i5	239.5	119
EOG093710T1	Duplicated	TRINITY_DN8021_c1_g1_i1	239.5	119
EOG0937112Y	Complete	TRINITY_DN19471_c0_g1_i1	150.5	210
EOG093711E9	Duplicated	TRINITY_DN1647_c0_g1_i1	169.6	95
EOG093711E9	Duplicated	TRINITY_DN1647_c0_g2_i1	165.4	101
EOG093711LC	Complete	TRINITY_DN2600_c0_g1_i1	106.4	84
EOG093711QY	Complete	TRINITY_DN4331_c0_g1_i2	114.9	102
EOG093711ZO	Complete	TRINITY_DN22540_c0_g1_i1	275.3	184
EOG0937122Q	Complete	TRINITY_DN1081_c0_g1_i5	88.4	71
EOG0937128O	Complete	TRINITY_DN1125_c0_g1_i1	168.8	103
EOG0937129K	Complete	TRINITY_DN1320_c0_g1_i1	143.8	88
EOG093712G8	Complete	TRINITY_DN20948_c0_g1_i1	162.5	119
EOG093712Q6	Duplicated	TRINITY_DN1271_c0_g1_i1	157.0	73
EOG093712Q6	Duplicated	TRINITY_DN1271_c0_g1_i2	157.1	73
EOG09371330	Complete	TRINITY_DN10906_c0_g1_i2	147.3	124
EOG0937133J	Duplicated	TRINITY_DN182_c0_g1_i1	194.6	111
EOG0937133J	Duplicated	TRINITY_DN3505_c0_g1_i1	192.8	111
EOG0937133J	Duplicated	TRINITY_DN9249_c0_g1_i1	194.7	111
EOG093713HJ	Complete	TRINITY_DN11308_c0_g1_i1	89.7	82
EOG093713LY	Complete	TRINITY_DN10_c0_g5_i1	136.2	90
EOG09371431	Duplicated	TRINITY_DN18426_c0_g1_i1	172.1	97
EOG09371431	Duplicated	TRINITY_DN22715_c0_g1_i1	172.4	97
EOG09371431	Duplicated	TRINITY_DN22715_c0_g2_i1	172.4	97
EOG093714JU	Duplicated	TRINITY_DN1825_c0_g1_i1	90.4	71
EOG093714JU	Duplicated	TRINITY_DN1825_c0_g1_i2	90.2	71
EOG093714JU	Duplicated	TRINITY_DN1825_c0_g1_i3	86.1	70
EOG093714Q2	Complete	TRINITY_DN4356_c0_g1_i1	125.8	71
EOG093715EC	Duplicated	TRINITY_DN268_c0_g1_i2	94.3	102
EOG093715EC	Duplicated	TRINITY_DN268_c0_g1_i3	91.7	87
EOG093715EC	Duplicated	TRINITY_DN268_c0_g1_i4	94.2	102
EOG09371675	Duplicated	TRINITY_DN16445_c0_g1_i1	126.4	77
EOG09371675	Duplicated	TRINITY_DN16974_c0_g1_i1	127.4	122
EOG09371675	Duplicated	TRINITY_DN22639_c0_g1_i1	132.2	107
EOG0937167R	Complete	TRINITY_DN8963_c1_g3_i1	160.3	137
EOG093716T7	Complete	TRINITY_DN2608_c0_g2_i1	160.0	204
EOG093717LU	Complete	TRINITY_DN3152_c0_g1_i1	100.7	51
EOG0937183G	Duplicated	TRINITY_DN10509_c0_g1_i1	109.7	69
EOG0937183G	Duplicated	TRINITY_DN14617_c0_g1_i1	112.1	69
EOG0937183G	Duplicated	TRINITY_DN3913_c0_g1_i1	103.6	69
EOG0937186Q	Duplicated	TRINITY_DN4038_c0_g1_i1	136.3	102
EOG0937186Q	Duplicated	TRINITY_DN4038_c0_g1_i2	150.3	106
EOG093718E9	Complete	TRINITY_DN635_c0_g2_i1	102.3	76
EOG093718EG	Complete	TRINITY_DN21555_c0_g1_i1	108.4	60
EOG0937192A	Duplicated	TRINITY_DN3686_c0_g1_i1	106.0	133
EOG0937192A	Duplicated	TRINITY_DN3686_c0_g1_i2	105.3	133
EOG093719IK	Complete	TRINITY_DN22517_c0_g1_i1	139.9	103
EOG093719M8	Complete	TRINITY_DN15528_c0_g1_i1	52.6	64
EOG09371BIR	Duplicated	TRINITY_DN19038_c0_g1_i1	88.9	96
EOG09371BIR	Duplicated	TRINITY_DN21246_c0_g1_i1	85.1	96
